molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,portfolio_group,hypothesis_linked
MC-5,medchem_baseline,traditional_medicinal_chemistry,C#CCOC(C[C@H]1COC(C)(C)O1)=C(O)P(=O)(O)O,C#CCOC(C[C@H]1COC(C)(C)O1)=C(O)P(=O)(O)O,12,0.25,0.3138,0.4631,0.3729,0.3729,0.6271,0.5,0.3138,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
MC-6,medchem_baseline,traditional_medicinal_chemistry,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,18,0.75,0.4588,0.4974,0.6279,0.6,0.3721,0.5,0.4588,NEAR-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
MC-7,medchem_baseline,traditional_medicinal_chemistry,N#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,N#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,18,0.5,0.3988,0.4887,0.6279,0.6,0.3721,0.5,0.3988,NEAR-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
MC-8,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(C[C@H](O)CO)OCc1ccccc1,O=P(O)(O)C(O)=C(C[C@H](O)CO)OCc1ccccc1,18,0.25,0.4438,0.4959,0.3585,0.3585,0.6415,0.5,0.4438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
MC-12,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.3788,0.4842,0.225,0.225,0.775,0.5,0.3788,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
NEG-1-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1O,CC[C@@H]1OC(=O)C(O)=C1O,1,0.25,0.525,0.4994,0.4242,0.4242,0.5758,0.6,0.475,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
NEG-2-no_OH,negative_control,control_design,CCC1OC(=O)C(O)=C1O,CCC1OC(=O)C(O)=C1O,2,0.25,0.525,0.4994,0.4242,0.4242,0.5758,0.6,0.475,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
NEG-18-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,18,0.25,0.305,0.4604,0.5778,0.5778,0.4222,0.6,0.305,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
NEG-24-no_OH,negative_control,control_design,CCCOC1=C(O)[C@H](CC)OC1=O,CCCOC1=C(O)[C@H](CC)OC1=O,24,0.25,0.355,0.4785,0.5789,0.5789,0.4211,0.6,0.355,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
NEG-25-no_OH,negative_control,control_design,O=C1O[C@@H](CCBr)C(O)=C1O,O=C1O[C@@H](CCBr)C(O)=C1O,25,0.5,0.5638,0.495,0.4706,0.4706,0.5294,0.6,0.4362,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
MC-0,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,0.25,0.3438,0.474,0.2051,0.2051,0.7949,0.5,0.3438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-1,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)CC(O)CO,O=P(O)(O)C(O)=C(O)CC(O)CO,2,0.25,0.3438,0.474,0.2051,0.2051,0.7949,0.5,0.3438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-2,medchem_baseline,traditional_medicinal_chemistry,CC1(C)OC[C@@H](CC(O)=C(O)P(=O)(O)O)O1,CC1(C)OC[C@@H](CC(O)=C(O)P(=O)(O)O)O1,3,0.0,0.2138,0.4089,0.3043,0.3043,0.6957,0.5,0.2138,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-5,medchem_baseline,traditional_medicinal_chemistry,C#CCOC(C[C@H]1COC(C)(C)O1)=C(O)P(=O)(O)O,C#CCOC(C[C@H]1COC(C)(C)O1)=C(O)P(=O)(O)O,12,0.25,0.3138,0.4631,0.3729,0.3729,0.6271,0.5,0.3138,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-8,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(C[C@H](O)CO)OCc1ccccc1,O=P(O)(O)C(O)=C(C[C@H](O)CO)OCc1ccccc1,18,0.25,0.4438,0.4959,0.3585,0.3585,0.6415,0.5,0.4438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-9,medchem_baseline,traditional_medicinal_chemistry,CCCOC(=C(O)C[C@H](O)CO)P(=O)(O)O,CCCOC(=C(O)C[C@H](O)CO)P(=O)(O)O,24,0.25,0.265,0.4413,0.2857,0.2857,0.7143,0.5,0.265,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-12,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.3788,0.4842,0.225,0.225,0.775,0.5,0.3788,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-13,medchem_baseline,traditional_medicinal_chemistry,Cl.Cl.O=C(Cl)C(O)=CO,Cl.Cl.O=C(Cl)C(O)=CO,1,0.0,0.2138,0.4089,0.0811,0.0612,0.9189,0.5,0.2138,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-14,medchem_baseline,traditional_medicinal_chemistry,Br.Br.O=C(Br)C(O)=CO,Br.Br.O=C(Br)C(O)=CO,1,0.25,0.2288,0.419,0.0811,0.0789,0.9189,0.5,0.2288,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-15,medchem_baseline,traditional_medicinal_chemistry,I.I.O=C(I)C(O)=CO,I.I.O=C(I)C(O)=CO,1,0.0,0.2188,0.4124,0.0811,0.0612,0.9189,0.5,0.2188,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-16,medchem_baseline,traditional_medicinal_chemistry,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,3,0.0,0.2188,0.4124,0.0789,0.06,0.9211,0.5,0.2188,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-17,medchem_baseline,traditional_medicinal_chemistry,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CO,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CO,3,0.25,0.2338,0.4222,0.0789,0.0769,0.9211,0.5,0.2338,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-18,medchem_baseline,traditional_medicinal_chemistry,C.C.I.I.I.I.O=C(I)C(O)=CO,C.C.I.I.I.I.O=C(I)C(O)=CO,3,0.0,0.2238,0.4157,0.0789,0.06,0.9211,0.5,0.2238,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-19,medchem_baseline,traditional_medicinal_chemistry,CCCCCCCC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,CCCCCCCC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,4,0.0,0.145,0.3521,0.1961,0.1458,0.8039,0.5,0.145,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-20,medchem_baseline,traditional_medicinal_chemistry,Br.Br.Br.Br.CCCCCCCC.O=C(Br)C(O)=CO,Br.Br.Br.Br.CCCCCCCC.O=C(Br)C(O)=CO,4,0.25,0.16,0.3666,0.1961,0.1458,0.8039,0.5,0.16,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-21,medchem_baseline,traditional_medicinal_chemistry,CCCCCCCC.I.I.I.I.O=C(I)C(O)=CO,CCCCCCCC.I.I.I.I.O=C(I)C(O)=CO,4,0.0,0.15,0.3571,0.1961,0.1458,0.8039,0.5,0.15,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-22,medchem_baseline,traditional_medicinal_chemistry,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,5,0.0,0.2188,0.4124,0.0789,0.06,0.9211,0.5,0.2188,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-23,medchem_baseline,traditional_medicinal_chemistry,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CBr,5,0.25,0.2338,0.4222,0.0789,0.0769,0.9211,0.5,0.2338,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-24,medchem_baseline,traditional_medicinal_chemistry,C.C.I.I.I.I.O=C(I)C(O)=CI,C.C.I.I.I.I.O=C(I)C(O)=CI,5,0.0,0.2238,0.4157,0.0811,0.0612,0.9189,0.5,0.2238,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-25,medchem_baseline,traditional_medicinal_chemistry,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl.c1ccccc1,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl.c1ccccc1,6,0.0,0.2338,0.4222,0.1,0.1,0.9,0.5,0.2338,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-26,medchem_baseline,traditional_medicinal_chemistry,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CBr.c1ccccc1,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CBr.c1ccccc1,6,0.25,0.2438,0.4284,0.1,0.1,0.9,0.5,0.2438,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
MC-27,medchem_baseline,traditional_medicinal_chemistry,C.C.I.I.I.I.O=C(I)C(O)=CI.c1ccccc1,C.C.I.I.I.I.O=C(I)C(O)=CI.c1ccccc1,6,0.0,0.2388,0.4253,0.102,0.102,0.898,0.5,0.2388,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,F_uncertainty_reduction,
