id_a,id_b,smiles_a,smiles_b,core,frag_a,frag_b,transformation,transformation_class,is_active_a,is_active_b,activity_a_uM,activity_b_uM,potentiation_a_pct,potentiation_b_pct,activity_change
9,12,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,*COC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,*CCC,*C#C,*CCC -> *C#C,EWG_introduction_removal,0,1,0.0,0.1981,0.0,150.0,gained_activity
9,12,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,*OC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,*CCCC,*CC#C,*CCCC -> *CC#C,EWG_introduction_removal,0,1,0.0,0.1981,0.0,150.0,gained_activity
9,12,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,*C1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,*OCCCC,*OCC#C,*OCCCC -> *OCC#C,EWG_introduction_removal,0,1,0.0,0.1981,0.0,150.0,gained_activity
9,20,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*[C@H]1OC(=O)C(O)=C1OCCCC,*[C@H]1COC(C)(C)O1,*[C@H](O)CO,*[C@H]1COC(C)(C)O1 -> *[C@H](O)CO,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
10,21,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*[C@H]1OC(=O)C(O)=C1OCC1CC1,*[C@@H]1COC(C)(C)O1,*[C@H](O)CO,*[C@@H]1COC(C)(C)O1 -> *[C@H](O)CO,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
13,22,COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,COC1=C(OC)[C@@H]([C@H](O)CO)OC1=O,*[C@H]1OC(=O)C(OC)=C1OC,*[C@@H]1COC(C)(C)O1,*[C@H](O)CO,*[C@@H]1COC(C)(C)O1 -> *[C@H](O)CO,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
18,19,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*Cc1ccccc1,*CC=C,*Cc1ccccc1 -> *CC=C,aromatic_substitution,1,0,1288.0,0.0,500.0,0.0,lost_activity
18,20,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*Cc1ccccc1,*CCCC,*Cc1ccccc1 -> *CCCC,alkyl_chain_extension,1,0,1288.0,0.0,500.0,0.0,lost_activity
18,21,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*OC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*Cc1ccccc1,*CC1CC1,*Cc1ccccc1 -> *CC1CC1,alkyl_chain_extension,1,0,1288.0,0.0,500.0,0.0,lost_activity
19,20,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*CC=C,*CCCC,*CC=C -> *CCCC,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
19,21,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*OC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*CC=C,*CC1CC1,*CC=C -> *CC1CC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
20,21,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*OC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*CCCC,*CC1CC1,*CCCC -> *CC1CC1,other,0,0,0.0,0.0,0.0,0.0,no_change
18,19,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*COC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*c1ccccc1,*C=C,*c1ccccc1 -> *C=C,aromatic_substitution,1,0,1288.0,0.0,500.0,0.0,lost_activity
18,20,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*COC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*c1ccccc1,*CCC,*c1ccccc1 -> *CCC,alkyl_chain_extension,1,0,1288.0,0.0,500.0,0.0,lost_activity
18,21,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*COC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*c1ccccc1,*C1CC1,*c1ccccc1 -> *C1CC1,alkyl_chain_extension,1,0,1288.0,0.0,500.0,0.0,lost_activity
19,20,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*COC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*C=C,*CCC,*C=C -> *CCC,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
19,21,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*COC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*C=C,*C1CC1,*C=C -> *C1CC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
20,21,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*COC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*CCC,*C1CC1,*CCC -> *C1CC1,other,0,0,0.0,0.0,0.0,0.0,no_change
