MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,FractionCSP3,HeavyAtomCount
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00012660016753646304,3.604035787069241e-05,0.0,0.0,0.0,0.02082380451210788,0.0,0.0,0.03289835209927471,0.0041014925178501985
0.0,0.0,0.0,1.1344851273978748e-16,0.0,0.0,0.0,0.0,0.1666666666666665,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23999999999999974,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03993732363873997,0.03872724931998394,0.0,0.0,0.0,0.04839127039154399,0.0,0.0,0.0033518774185467785,9.52585586714909e-06
0.013355677474257,0.0353273417392153,0.0,0.0,0.0,0.0,0.0,0.0,0.012110329867171475,0.002373076058953651
0.010936726860314168,0.013164650299651,0.0,0.0,0.0,3.113414562407628e-07,0.0,0.0,0.24643324008926457,0.003174128648473032
0.0002981657945055597,1.70753073971621e-08,0.0,0.0,0.0,0.0022157927424631386,0.0,0.0,0.36355038159321756,0.04553173881475082
0.0,0.0,0.0,0.0,0.0,0.1274254289550425,0.0,0.0,0.0651709918457496,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46666666666666684,0.0
0.016682854763397183,0.05025474392040291,0.0001342046650568903,3.3970238230731753e-09,0.0,0.0016839643297403535,2.064194135689266e-08,0.0,0.1134595814455639,0.00015191214675936001
0.031002263808010543,0.007645135027974741,7.0543980315499505e-06,7.711077488534785e-05,0.0,0.014463637479643339,1.1359209335541595e-06,0.0,0.19690011972382965,9.82059639364181e-06
